REPOSITORY                                  TAG                      SIZE
sock-shop-payment-gateway                   v2                       7.85MB
sock-shop-payment-gateway                   v1                       7.86MB
quay.io/powercloud/sock-shop-front-end      v1.1-error-fix           992MB
<none>                                      <none>                   992MB
<none>                                      <none>                   992MB
<none>                                      <none>                   222MB
<none>                                      <none>                   134MB
quay.io/powercloud/sock-shop-orders         v1.0-status-fix          134MB
<none>                                      <none>                   134MB
<none>                                      <none>                   134MB
redis                                       7.2-alpine               40.9MB
archon-archon-frontend                      latest                   908MB
archon-archon-mcp                           latest                   248MB
archon-archon-server                        latest                   2.9GB
opsmind-control-plane-svc                   latest                   441MB
postgres                                    16                       436MB
eclipse-temurin                             21-jre                   287MB
kindest/node                                v1.32.0                  1.05GB
rabbitmq                                    3.13-management-alpine   176MB
quay.io/powercloud/sock-shop-user           latest                   162MB
quay.io/powercloud/sock-shop-orders         latest                   472MB
quay.io/powercloud/sock-shop-front-end      latest                   835MB
quay.io/powercloud/sock-shop-catalogue-db   latest                   403MB
quay.io/powercloud/sock-shop-user-db        latest                   768MB
quay.io/powercloud/sock-shop-catalogue      latest                   246MB
quay.io/powercloud/sock-shop-carts          latest                   427MB
quay.io/powercloud/sock-shop-queue-master   latest                   466MB
quay.io/powercloud/sock-shop-shipping       latest                   454MB
quay.io/powercloud/sock-shop-payment        latest                   158MB
